City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,camayenne,9.535,-13.6878,27.05,89,40,3.09,GN,1701405759
350,siguiri,11.6667,-9.5,23.87,35,86,0.87,GN,1701405795
351,areia branca,-4.9561,-37.1369,25.68,77,8,6.11,BR,1701405795
352,la'ie,21.6477,-157.9253,26.98,76,99,5.07,US,1701405795
353,north bend,43.4065,-124.2243,8.37,93,100,2.06,US,1701405795
354,kloulklubed,7.0419,134.2556,31.28,74,99,5.69,PW,1701405796
355,mount pearl,47.5166,-52.7813,-2.37,89,75,3.09,CA,1701405796
356,weno,7.4515,151.8468,28.69,76,14,5.87,FM,1701405796
357,sinjai,-5.1241,120.253,31.36,60,100,3.84,ID,1701405797
358,tahe,52.3333,124.7333,-6.81,44,30,1.46,CN,1701405797
359,baijiantan,45.6333,85.1833,3.81,28,47,0.61,CN,1701405797
360,rumbek,6.802,29.6912,25.13,70,42,2.07,SS,1701405798
361,la passe,45.5549,-0.8967,8.13,83,100,3.77,FR,1701405798
362,pionerskiy,54.9508,20.2275,-2.09,76,98,9.5,RU,1701405798
363,mahdia,35.5047,11.0622,13.97,29,24,8.74,TN,1701405798
364,hithadhoo,-0.6,73.0833,27.75,77,100,5.42,MV,1701405799
365,voskresenskoye,56.8381,45.4317,-10.29,97,84,2.13,RU,1701405799
366,kuala belait,4.5833,114.1833,30.09,69,92,2.34,BN,1701405799
367,avellaneda,-29.1176,-59.6583,23.81,97,2,3.4,AR,1701405800
368,raipur,21.2333,81.6333,27.08,65,20,2.06,IN,1701405800
369,payakumbuh,-0.2202,100.6308,29.84,60,98,0.48,ID,1701405801
370,yevpatoriya,45.1972,33.3558,11.4,88,79,11.73,UA,1701405801
371,nuzvid,16.7833,80.85,27.47,46,82,5.23,IN,1701405801
372,el calafate,-50.3408,-72.2768,4.18,62,0,3.71,AR,1701405802
373,chibougamau,49.9168,-74.3659,-5.21,93,100,4.12,CA,1701405802
374,suva,-18.1416,178.4415,30.71,66,20,4.63,FJ,1701405802
375,gebeit,21.0667,36.3167,20.4,86,1,2.98,SD,1701405802
376,ochakiv,46.6128,31.5498,10.01,91,100,11.26,UA,1701405803
377,brooks,50.5834,-111.8851,-9.42,89,36,2.57,CA,1701405803
378,dapaong,10.8639,0.205,26.67,32,2,1.81,TG,1701405803
379,qui nhon,13.7667,109.2333,26.24,88,83,7.31,VN,1701405804
380,dalbandin,28.8947,64.4101,18.21,37,1,1.01,PK,1701405804
381,pochep,52.9336,33.4464,-3.95,96,100,3.91,RU,1701405804
382,two rivers,44.1539,-87.5693,3.33,79,0,0.45,US,1701405804
383,lorengau,-2.0226,147.2712,28.84,76,85,2.73,PG,1701405805
384,scottburgh,-30.2867,30.7532,19.34,69,39,6.15,ZA,1701405805
385,taoudenni,22.6783,-3.9836,17.65,18,81,1.54,ML,1701405805
386,shanwei,22.782,115.3475,22.49,53,39,4.51,CN,1701405806
387,kiama,-34.6833,150.8667,22.47,82,27,6.32,AU,1701405806
388,wildwood,38.5828,-90.6629,7.53,94,100,2.06,US,1701405806
389,toliara,-23.35,43.6667,26.03,66,92,6.33,MG,1701405807
390,greymouth,-42.4667,171.2,15.63,62,100,2.09,NZ,1701405807
391,porto novo,6.4965,2.6036,25.39,92,9,1.41,BJ,1701405770
392,alibag,18.6411,72.8792,27.04,67,11,2.37,IN,1701405808
393,bahia blanca,-38.7196,-62.2724,24.34,48,54,4.02,AR,1701405608
394,mangrol,21.1167,70.1167,25.31,48,0,4.92,IN,1701405808
395,umm kaddadah,13.6017,26.6876,21.36,22,31,8.05,SD,1701405808
396,lazaro cardenas,17.9583,-102.2,25.09,85,95,1.53,MX,1701405809
397,warmbaths,-24.8833,28.2833,18.06,63,0,1.08,ZA,1701405809
398,mana,5.6592,-53.7767,25.42,87,100,3.62,GF,1701405809
399,hajduszoboszlo,47.45,21.4,4.06,100,100,0.51,HU,1701405810
400,acapulco de juarez,16.8634,-99.8901,26.9,83,75,2.06,MX,1701405810
401,st. paul,44.9444,-93.0933,-0.87,75,0,2.57,US,1701405810
402,noumea,-22.2763,166.4572,31.99,73,29,5.46,NC,1701405533
403,road town,18.4167,-64.6167,27.05,67,29,8.85,VG,1701405771
404,mammoth lakes,37.6485,-118.9721,-2.59,69,40,0.89,US,1701405811
405,urcos,-13.6861,-71.6228,11.94,86,92,1.64,PE,1701405811
406,yakeshi,49.2833,120.7333,-17.27,85,32,2.53,CN,1701405812
407,rongelap,11.1635,166.8941,27.93,75,100,8.88,MH,1701405812
408,nieuw amsterdam,5.8833,-55.0833,25.01,88,100,3.8,SR,1701405812
409,mount isa,-20.7333,139.5,37.87,28,40,7.2,AU,1701405813
410,malvan,16.0667,73.4667,28.6,62,48,2.58,IN,1701405814
411,aldan,58.6031,125.3894,-16.32,94,100,5.48,RU,1701405655
412,nikolayevsk-on-amure,53.1406,140.73,-14.55,70,100,2.79,RU,1701405814
413,alta,69.9689,23.2717,-0.41,86,100,4.12,NO,1701405815
414,clearwater,27.9659,-82.8001,20.61,75,0,3.13,US,1701405783
415,genzano di lucania,40.8479,16.0308,12.4,61,100,3.8,IT,1701405815
416,tubarjal,30.4999,38.216,14.22,58,0,2.89,SA,1701405816
417,sandnessjoen,66.0217,12.6316,-4.77,63,0,4.12,NO,1701405816
418,tynda,55.1667,124.7167,-15.66,81,45,0.78,RU,1701405816
419,marsabit,2.3284,37.9899,21.82,48,58,2.04,KE,1701405817
420,arno,60.1167,18.6333,-0.12,94,100,8.19,SE,1701405817
421,santiago de cuba,20.0247,-75.8219,25.06,88,20,1.54,CU,1701405817
422,mokrin,45.9358,20.4072,11.35,84,100,2.19,RS,1701405817
423,san pedro pochutla,15.7333,-96.4667,23.83,81,56,1.63,MX,1701405818
424,kirensk,57.7853,108.1119,-14.46,93,100,3.58,RU,1701405818
425,zahedan,29.4963,60.8629,13.95,54,0,0.0,IR,1701405818
426,tazacorte,28.629,-17.9293,18.54,97,75,3.6,ES,1701405818
427,greenwood,34.1668,-82.1165,5.2,70,0,1.54,US,1701405718
428,juneau,58.3019,-134.4197,2.0,97,100,3.6,US,1701405819
429,krasnyy chikoy,50.3643,108.7512,-7.37,68,38,2.87,RU,1701405819
430,presidente medici,-11.1753,-61.9014,22.83,94,51,1.18,BR,1701405820
431,pacocha,-17.5833,-71.3333,18.86,86,65,2.57,PE,1701405820
432,najran,17.4924,44.1277,13.36,51,7,0.95,SA,1701405820
433,santarem,-2.4431,-54.7083,27.07,83,0,3.6,BR,1701405820
434,seven pagodas,12.6264,80.1722,27.03,74,44,5.49,IN,1701405821
435,kutum,14.2,24.6667,16.76,26,0,2.82,SD,1701405821
436,cox's bazar,21.4532,91.9798,26.67,59,100,2.94,BD,1701405560
437,atar,20.5169,-13.0499,19.36,20,82,1.26,MR,1701405821
438,nahiyat ghammas,31.7431,44.6196,14.72,50,0,3.21,IQ,1701405822
439,lagos,6.5833,3.75,25.18,94,12,0.69,NG,1701405542
440,revda,56.801,59.9303,-11.82,98,98,0.89,RU,1701405822
441,cromwell,41.5951,-72.6454,9.42,73,0,3.09,US,1701405819
442,vanino,49.0869,140.2543,-12.26,55,0,3.61,RU,1701405823
443,santiago de cao,-7.9589,-79.2392,19.07,88,75,3.6,PE,1701405823
444,sabha,27.0377,14.4283,14.64,24,0,3.29,LY,1701405824
445,necochea,-38.5473,-58.7368,19.85,52,45,6.29,AR,1701405824
446,port antonio,18.18,-76.4612,26.95,83,55,2.64,JM,1701405824
447,el porvenir,13.7617,-87.3458,24.63,74,66,2.74,HN,1701405824
448,mogila,41.1083,21.3786,9.25,87,100,2.26,MK,1701405825
449,santa ana,33.7456,-117.8678,16.02,85,20,1.54,US,1701405691
450,luis correia,-2.8792,-41.6669,26.49,79,98,4.49,BR,1701405825
451,cabedelo,-6.9811,-34.8339,26.37,79,76,4.91,BR,1701405815
452,banaz,38.7371,29.7519,6.93,91,8,0.63,TR,1701405826
453,wickenburg,33.9686,-112.7296,11.36,78,98,0.65,US,1701405631
454,coracora,-15.0333,-73.7833,11.41,51,53,0.47,PE,1701405826
455,jaru,-10.4389,-62.4664,22.85,95,61,1.01,BR,1701405827
456,sao joao da barra,-21.6403,-41.0511,23.18,93,96,5.04,BR,1701405827
457,sao felix do xingu,-6.6447,-51.995,21.68,90,22,0.94,BR,1701405827
458,uray,60.1247,64.7758,-10.63,97,100,1.79,RU,1701405827
